"Name","SES","MaxVac","WVH","h","continent","Strat"
"Denmark","H",0.824101469491376,19.8090073528033,3.79592934750115,"Europe",1
"Denmark","L",0.846993144346741,18.8879180201051,3.67605572970813,"Europe",1
"Sweden","H",0.823259806787848,22.4466914130944,3.45902187053814,"Europe",1
"Sweden","L",0.7978242333836,21.2849516348452,3.14977492708089,"Europe",1
"Spain","H",0.914625120161167,22.879024753432,2.60029232648625,"Europe",1
"Spain","L",0.837369612278047,22.5108591579721,2.98768672666503,"Europe",1
"Israel","H",0.892379389081607,4.63601375863686,0.815202001804207,"Asia",2
"Israel","L",0.650862588593615,10.6610359586861,1.04916523594714,"Asia",2
"Cape Verde","H",0.680040945516553,0.952469332131345,0.800748156592827,"Africa",2
"Cape Verde","L",0.553999772332746,2.00673906741982,1.02924267070508,"Africa",2
"Argentina","H",0.999641545125331,26.839495218816,2.74943690269307,"South America",1
"Argentina","L",1,27.50728849036,2.82472226599756,"South America",1
"Ecuador","H",1,24.4935002501909,3.05319100246723,"South America",1
"Ecuador","L",0.787231534337697,30.569057138705,3.86700639481782,"South America",1
"Brazil, SE","H",0.919743120278229,26.0633646095039,3.02012713728087,"South America",1
"Brazil, SE","L",0.865780381044747,25.4620885985906,3.38724885390432,"South America",1
"Peru","H",0.92531491564332,32.6421867151122,3.86318229103897,"South America",1
"Peru","L",0.804540411293873,35.0286185686662,3.78022541412401,"South America",1
