Name,week,H,L,type
Belgium,0,5.653468139611789e-4,0,observed
Belgium,1,0.00145866414771293,0.00203915605922291,observed
Belgium,2,0.009197471257316259,0.009178950171936569,observed
Belgium,3,0.0232761314530024,0.016701263920233002,observed
Belgium,4,0.030175716684224797,0.0203941901010759,observed
Belgium,5,0.0340314766999455,0.0240299510527112,observed
Belgium,6,0.036516555228639905,0.0288504157249647,observed
Belgium,7,0.0429793588124253,0.030724914316798003,observed
Belgium,8,0.053212244138852095,0.033850335257415404,observed
Belgium,9,0.0676022161224927,0.043030876963734296,observed
Belgium,10,0.08198465442479391,0.056312476351989396,observed
Belgium,11,0.101761295856363,0.07864062548661539,observed
Belgium,12,0.122698345434878,0.103117992374198,observed
Belgium,13,0.15001668695109902,0.123205102848877,observed
Belgium,14,0.190486134712409,0.154784975199962,observed
Belgium,15,0.23351713222743,0.184201810116116,observed
Belgium,16,0.274441710648878,0.215441816207734,observed
Belgium,17,0.311411614631938,0.245832543407591,observed
Belgium,18,0.358897300905747,0.280711523607301,observed
Belgium,19,0.37656682557347504,0.32002321192790395,observed
Belgium,20,0.42167893344249996,0.345953662562285,observed
Belgium,21,0.43482493148151297,0.369463766521298,observed
Belgium,22,0.479531368180392,0.40389122178784603,observed
Belgium,23,0.526648537767628,0.43886642292668904,observed
Belgium,24,0.588099207488275,0.48317591152724604,observed
Belgium,25,0.639585972817456,0.519727023188334,observed
Belgium,26,0.6785651717786909,0.538503984170139,observed
Belgium,27,0.6944195445816671,0.550351420522296,observed
Belgium,28,0.707464840310384,0.562807593286546,observed
Belgium,29,0.719728440230622,0.5739984215300941,observed
Belgium,30,0.7311508236599531,0.583549896220186,observed
Belgium,31,0.745209894833377,0.593655591622951,observed
Belgium,32,0.754045200408739,0.599556643536581,observed
Belgium,33,0.758878884193892,0.603507548155135,observed
Belgium,34,0.76204438199012,0.607142015861011,observed
Belgium,35,0.765293642565388,0.610298016869434,observed
Belgium,36,0.7674966129438999,0.612896222978934,observed
Belgium,37,0.769237268105431,0.615551683649455,observed
Belgium,38,0.770925110291545,0.618920027001122,observed
Belgium,39,0.77223579086019,0.6232320106917321,observed
Belgium,40,0.773177952038945,0.626681424568692,observed
Belgium,41,0.774104166311554,0.6299949698765129,observed
Belgium,42,0.77490674733268,0.633062560230494,observed
Belgium,43,0.775929417360649,0.636849483369504,observed
Belgium,44,0.776936222149358,0.640653958431817,observed
Belgium,45,0.778006428378902,0.643157261632106,observed
Belgium,46,0.780068996934064,0.646268911373559,observed
Belgium,47,0.7812117382189631,0.648858984321703,observed
Belgium,48,0.7822541732292081,0.6507305040412901,observed
Belgium,49,0.7829813484143441,0.6524176146404901,observed
Belgium,50,0.783604759322551,0.653617272215041,observed
Belgium,0,0,0,predicted
Belgium,1,4.953277078244651e-6,5.2648274125669334e-6,predicted
Belgium,2,8.363925383089898e-5,8.304038957573204e-5,predicted
Belgium,3,4.3681594435585275e-4,4.167077607373293e-4,predicted
Belgium,4,0.0014101440676872364,0.0013075197681646322,predicted
Belgium,5,0.0034941199309809754,0.0031687628857071785,predicted
Belgium,6,0.007314473713381199,0.00651332871358287,predicted
Belgium,7,0.013607955432156048,0.011930212927418438,predicted
Belgium,8,0.02317768081056662,0.020045769068516964,predicted
Belgium,9,0.03682387542588993,0.031467451617589466,predicted
Belgium,10,0.05525068918624366,0.04671183402113835,predicted
Belgium,11,0.0789578073541746,0.06612465099966149,predicted
Belgium,12,0.10813510833294793,0.08980695256799404,predicted
Belgium,13,0.14258565286903743,0.11756532246283495,predicted
Belgium,14,0.18170190370285733,0.14890244183656517,predicted
Belgium,15,0.22450941025834822,0.1830558202989628,predicted
Belgium,16,0.2697735430004652,0.21907949121728512,predicted
Belgium,17,0.31614580556171773,0.2559511342629936,predicted
Belgium,18,0.36231558818234316,0.29268089091062627,predicted
Belgium,19,0.4071353764615592,0.3284003841090264,predicted
Belgium,20,0.44969990548212924,0.362419137777029,predicted
Belgium,21,0.4893755529213652,0.3942461426459212,predicted
Belgium,22,0.5257886905677193,0.42358253641760263,predicted
Belgium,23,0.5587876263519572,0.45029533501826136,predicted
Belgium,24,0.5883927503546509,0.4743822447912248,predicted
Belgium,25,0.6147460279559807,0.4959353656183304,predicted
Belgium,26,0.6380665599365902,0.5151086645110314,predicted
Belgium,27,0.6586151285393028,0.5320915050833468,predicted
Belgium,28,0.676668062303187,0.5470886893106512,predicted
Belgium,29,0.692499335903297,0.5603064132028485,predicted
Belgium,30,0.7063692629096925,0.5719430755888154,predicted
Belgium,31,0.7185181000791326,0.5821837923962059,predicted
Belgium,32,0.7291630979662785,0.5911975801106618,predicted
Belgium,33,0.73849783561851845,0.59913636217899,predicted
Belgium,34,0.7466929754681039,0.606135152392181,predicted
Belgium,35,0.7538978281213122,0.6123129467206521,predicted
Belgium,36,0.7602423147627242,0.6177739981468748,predicted
Belgium,37,0.7658390609062824,0.6226092575362169,predicted
Belgium,38,0.7707854583185455,0.6268978422463858,predicted
Belgium,39,0.7751656021204629,0.63070844917039,predicted
Belgium,40,0.7790520562348068,0.6341006661280633,predicted
Belgium,41,0.7825074296126123,0.6371261599052654,predicted
Belgium,42,0.7855857634093607,0.6398297346360845,predicted
Belgium,43,0.7883337393640233,0.6422502634912983,predicted
Belgium,44,0.7907917247721701,0.644421501829781,predicted
Belgium,45,0.7929946714876035,0.6463727925250852,predicted
Belgium,46,0.7949728865695815,0.6481296750800866,predicted
Belgium,47,0.796752691320614,0.6497144100473933,predicted
Belgium,48,0.798356984047258,0.6511464296152483,predicted
Belgium,49,0.7998057202423455,0.6524427242760558,predicted
Belgium,50,0.8011163222223329,0.6536181744412313,predicted
Chile,0,0.026494314373877403,0.0246105869352641,observed
Chile,1,0.0648804436178764,0.0631658533502001,observed
Chile,2,0.109637260509932,0.11055168662403499,observed
Chile,3,0.152893552798129,0.144211945387711,observed
Chile,4,0.197536705506974,0.1762455880172,observed
Chile,5,0.222277723915772,0.197617470984679,observed
Chile,6,0.246002624959617,0.217190608367032,observed
Chile,7,0.262590383350482,0.230646048092042,observed
Chile,8,0.27876334850487,0.241345769610029,observed
Chile,9,0.298840514120637,0.25821714270017504,observed
Chile,10,0.328813751033257,0.282537312740959,observed
Chile,11,0.364834942427456,0.30991332977192,observed
Chile,12,0.406821848222483,0.348193797562458,observed
Chile,13,0.45055113418523296,0.387497317165418,observed
Chile,14,0.465782884211116,0.403278468834652,observed
Chile,15,0.488517307255198,0.422823602763428,observed
Chile,16,0.504360603806067,0.43802425665951294,observed
Chile,17,0.514720081786419,0.448213304314059,observed
Chile,18,0.5315018852635,0.466382887221439,observed
Chile,19,0.548551119165361,0.48551602273201394,observed
Chile,20,0.55902044678673,0.501044351568558,observed
Chile,21,0.568814159574489,0.510938595382267,observed
Chile,22,0.580358585279612,0.5261267950788551,observed
Chile,23,0.587628715503498,0.535956340507136,observed
Chile,24,0.591542240493089,0.5425670539404099,observed
Chile,25,0.59455113629409,0.547628658967804,observed
Chile,26,0.5966740970572311,0.551067736359473,observed
Chile,27,0.5984626123353479,0.5536122649906671,observed
Chile,28,0.606629114292399,0.5626809159108069,observed
Chile,29,0.617267668627676,0.573265577568006,observed
Chile,30,0.6393323400494539,0.595748824633999,observed
Chile,31,0.6618226807815409,0.6208396664019731,observed
Chile,32,0.673611345520858,0.6350560037381761,observed
Chile,33,0.685836806670356,0.647998468431291,observed
Chile,34,0.695059370948858,0.659025896290826,observed
Chile,35,0.700862155724879,0.6657010047665879,observed
Chile,36,0.707523283544824,0.6724640937373969,observed
Chile,37,0.712745097998636,0.6777571866667169,observed
Chile,38,0.716216110576547,0.681759683187546,observed
Chile,39,0.719100032311777,0.6852032921141721,observed
Chile,40,0.721775132220521,0.6879857251127309,observed
Chile,41,0.732307807116368,0.694984127936183,observed
Chile,42,0.73784960899733,0.7003542890543499,observed
Chile,43,0.7418227484464031,0.7041759181907671,observed
Chile,44,0.745782386521731,0.70856220002986,observed
Chile,45,0.750731513869946,0.713292097885211,observed
Chile,46,0.754556646269689,0.717685450468026,observed
Chile,47,0.7576504682171731,0.721543569005961,observed
Chile,48,0.7601065762545091,0.724877482729806,observed
Chile,49,0.7625655727240129,0.727956910371067,observed
Chile,50,0.764289984026747,0.7302718221263299,observed
Chile,51,0.766352339052894,0.7333729085767089,observed
Chile,52,0.768792638409879,0.736445309750018,observed
Chile,53,0.769404416839353,0.737396339608382,observed
Chile,0,0,0,predicted
Chile,1,0.04418872906107996,0.03424877500128303,predicted
Chile,2,0.08959582316863395,0.0711347850597131,predicted
Chile,3,0.13277592275650277,0.10725966364183176,predicted
Chile,4,0.17320668108899653,0.1419096396008977,predicted
Chile,5,0.21084341138515883,0.17484423779080394,predicted
Chile,6,0.2458029069155572,0.20600531211336914,predicted
Chile,7,0.2782610438281401,0.23541884222511805,predicted
Chile,8,0.3084110285143419,0.2631518470552906,predicted
Chile,9,0.3364447362770184,0.2892908407205802,predicted
Chile,10,0.3625442649169335,0.31393027084797853,predicted
Chile,11,0.38687839620027364,0.337166093626276,predicted
Chile,12,0.4096015147950478,0.35909217744951877,predicted
Chile,13,0.4308537675578096,0.3797983344771561,predicted
Chile,14,0.4507618299693586,0.3993693151415519,predicted
Chile,15,0.469439941533657,0.4178843802733529,predicted
Chile,16,0.48699102800778027,0.43541722014034956,predicted
Chile,17,0.5035078135275529,0.4520360790516233,predicted
Chile,18,0.5190738731372226,0.46780399760507546,predicted
Chile,19,0.5337646028865253,0.48277911745011387,predicted
Chile,20,0.5476480995876027,0.4970150139735074,predicted
Chile,21,0.5607859505302534,0.510561035368472,predicted
Chile,22,0.5732339377701309,0.5234626349272116,predicted
Chile,23,0.5850426636669934,0.5357616888086986,predicted
Chile,24,0.596258105117431,0.5474967950320762,predicted
Chile,25,0.606922103965249,0.5587035516985962,predicted
Chile,26,0.6170728007189995,0.5694148138796011,predicted
Chile,27,0.6267450181590246,0.5796609295031654,predicted
