Age,SES,cfr_githubm,cfr_githubl,cfr_githubh,cases_age_github
0-40,29.77,0.002144209,0.001852343,0.002446038,3284.777298
40-60,29.77,0.012538568,0.01010763,0.015988637,2026.034142
60-80,29.77,0.116308571,0.083271556,0.160904538,934.2869673
60-80,29.77,0.46633522,0.190954508,0.901811155,238.6180148
0-40,26.16,0.00287698,0.002381602,0.003416489,4558.51206
40-60,26.16,0.020844228,0.016843096,0.026292901,2772.994315
60-80,26.16,0.159817491,0.104707125,0.235850229,1308.305713
60-80,26.16,0.49834197,0.257756355,0.848593985,297.478289
0-40,31.47,0.00238452,0.002044894,0.002829988,5069.856505
40-60,31.47,0.014035449,0.011256585,0.017612744,2963.913684
60-80,31.47,0.13523056,0.085964699,0.208414069,1175.255884
60-80,31.47,0.397863873,0.176478428,0.915572076,198.7349431
0-40,24.84,7.80E-04,6.68E-04,9.23E-04,2579.611708
40-60,24.84,0.017782477,0.013977383,0.023058455,1658.888514
60-80,24.84,0.109144048,0.073982581,0.168118151,848.5928449
60-80,24.84,0.329630168,0.132914786,0.719140951,218.3351241
0-40,46.66,0.001723713,0.00148513,0.002105208,2921.423659
40-60,46.66,0.011313221,0.009378367,0.014270798,1702.203475
60-80,46.66,0.166256389,0.11273722,0.254237284,726.0862876
60-80,46.66,0.510249833,0.208389748,0.940992833,224.1467341
0-40,19.72,0.003056354,0.002584918,0.003644535,2307.901072
40-60,19.72,0.026671297,0.021815591,0.033227315,1482.315918
60-80,19.72,0.204807912,0.138629912,0.287229574,744.5146088
60-80,19.72,0.476078506,0.218186995,0.877174378,157.2758543
0-40,93.74,0,0,0,771.4113098
40-60,93.74,0.008006318,0.006383695,0.009914621,506.1757653
60-80,93.74,0.092359167,0.065641385,0.1361894,280.8150151
60-80,93.74,0.637288284,0.343672252,0.938293542,92.77909609
0-40,35.73,0.001413854,0.001238827,0.001652951,13512.65807
40-60,35.73,0.017074779,0.01372064,0.021669008,8371.274042
60-80,35.73,0.175707322,0.11602594,0.272010951,2625.517309
60-80,35.73,0.616823338,0.3021093,0.958596097,424.9091986
0-40,24.86,0.002584869,0.002280472,0.00300626,6613.114474
40-60,24.86,0.017346227,0.014402517,0.021811159,3676.524536
60-80,24.86,0.198667007,0.134500052,0.300781882,1304.099406
60-80,24.86,0.538408789,0.271654878,0.93103895,250.9664265
