Age,SES,lam,lau,lal
0-40,31.47,0.042137324,0.05785412,0.031078781
40-60,31.47,0.490190274,0.615943512,0.390245522
60-80,31.47,3.317241419,3.917173558,2.830792241
80+,31.47,10.41424045,12.60637742,8.541436558
0-40,24.86,0.046274117,0.06159469,0.034636615
40-60,24.86,0.478582356,0.586527883,0.386500827
60-80,24.86,3.581711046,4.173147832,3.054133087
80+,24.86,11.51684279,13.6979404,9.645954148
0-40,24.84,0.043512532,0.060439331,0.031021365
40-60,24.84,0.588500677,0.757199088,0.457377121
60-80,24.84,3.106130325,3.755899439,2.5214462
80+,24.84,9.48402137,11.59600986,7.596558198
0-40,46.66,0.025903881,0.036648091,0.018362356
40-60,46.66,0.324466845,0.422120125,0.248644175
60-80,46.66,2.905834331,3.541742806,2.422274865
80+,46.66,10.20191555,12.27883225,8.467238818
0-40,19.72,0.055529952,0.078377997,0.039541682
40-60,19.72,0.721446639,0.922921045,0.566582345
60-80,19.72,4.55601913,5.394212854,3.890939181
80+,19.72,11.11023316,13.4767491,9.128421157
0-40,42.89,0.029470043,0.039273861,0.022194602
40-60,42.89,0.382223972,0.470558695,0.31092667
60-80,42.89,2.540544235,2.991799609,2.149980832
80+,42.89,10.11763207,11.9063201,8.539549172
0-40,93.74,0.006858165,0.013143642,0.003486494
40-60,93.74,0.111985637,0.169979984,0.073644171
60-80,93.74,0.939246964,1.242354246,0.703698978
80+,93.74,8.881071681,11.01996067,7.020330396
